timestamp,supply_air_temp_c,return_air_temp_c,fan_speed_pct,remote_avg_temp_c,unit,source
2026-01-18T20:30:02.341042+02:00,17.7,35.3,70,21.8,C,vertiv_modbus
2026-01-18T20:40:01.978228+02:00,18,35.4,70,21.9,C,vertiv_modbus
2026-01-18T20:50:01.650052+02:00,18.4,35.4,70,21.9,C,vertiv_modbus
2026-01-18T21:00:01.471095+02:00,17.7,35.2,70,21.8,C,vertiv_modbus
2026-01-18T21:10:01.432719+02:00,18,35.4,70,21.9,C,vertiv_modbus
2026-01-18T21:20:02.039564+02:00,17.9,35.2,70,21.8,C,vertiv_modbus
2026-01-18T21:30:01.654271+02:00,18.2,35.4,70,21.9,C,vertiv_modbus
2026-01-18T21:40:02.130453+02:00,18.3,35.4,70,21.9,C,vertiv_modbus
2026-01-18T21:50:01.740379+02:00,18.4,35.4,70,21.9,C,vertiv_modbus
2026-01-18T22:00:02.236583+02:00,17.8,35.3,70,21.8,C,vertiv_modbus
2026-01-18T22:10:01.740057+02:00,17.9,35.4,70,21.9,C,vertiv_modbus
2026-01-18T22:20:02.253998+02:00,18.1,35.4,70,22,C,vertiv_modbus
2026-01-18T22:30:01.861696+02:00,18.3,35.3,70,21.8,C,vertiv_modbus
2026-01-18T22:40:01.434229+02:00,18.1,35.3,70,21.9,C,vertiv_modbus
2026-01-18T22:50:01.791943+02:00,17.9,35.4,70,21.9,C,vertiv_modbus
2026-01-18T23:00:01.642379+02:00,18.2,35.5,70,22,C,vertiv_modbus
2026-01-18T23:10:01.398057+02:00,18.4,35.4,70,21.9,C,vertiv_modbus
2026-01-18T23:20:01.863966+02:00,17.8,35.3,70,21.8,C,vertiv_modbus
2026-01-18T23:30:01.845334+02:00,18.2,35.4,70,22,C,vertiv_modbus
2026-01-18T23:40:02.102401+02:00,18.4,35.4,70,22,C,vertiv_modbus
2026-01-18T23:50:01.585857+02:00,18.6,35.5,70,22,C,vertiv_modbus
2026-01-19T00:00:01.618092+02:00,18.4,35.5,70,21.9,C,vertiv_modbus
2026-01-19T00:10:01.559319+02:00,18,35.5,70,21.9,C,vertiv_modbus
2026-01-19T00:20:01.601179+02:00,17.9,35.4,70,21.8,C,vertiv_modbus
2026-01-19T00:30:02.062370+02:00,17.8,35.3,70,21.8,C,vertiv_modbus
2026-01-19T00:40:01.612503+02:00,17.7,35.2,70,21.7,C,vertiv_modbus
2026-01-19T00:50:02.076297+02:00,18,35.3,70,21.8,C,vertiv_modbus
2026-01-19T01:00:01.568152+02:00,18.3,35.4,70,21.9,C,vertiv_modbus
